 4.1500    -0.3590440 0.5378022 -0.3101780  0.0000031 -0.0000669 0.0000311  2.5381900 27224.1660156   0.5029252 1.2765197 -0.3741040  1.1358128 0.4964615 -0.4771513  -1.1395155 -2.1377036   -1.5875276 1.5201791 3.0574833
 4.2000    -0.3591803 0.5277324 -0.3042538  0.0000055 -0.0000895 0.0000256  2.5265998 27412.3808594   0.5005569 1.2647069 -0.3670624  1.1333863 0.4959772 -0.4763448  -1.1389110 -2.1634613   -1.6023736 1.5413104 3.0566527
 4.2500    -0.3593406 0.5181684 -0.2983270  0.0000063 -0.0001013 0.0000027  2.5152277 27601.0996094   0.4983449 1.2534510 -0.3600151  1.1313049 0.4955804 -0.4756602  -1.1385939 -2.1892007   -1.6176756 1.5624205 3.0571046
 4.3000    -0.3595275 0.5089568 -0.2923519  0.0000062 -0.0001019 -0.0000136  2.5038952 27790.3085938   0.4962608 1.2425851 -0.3529071  1.1295021 0.4952684 -0.4751035  -1.1385062 -2.2144848   -1.6330274 1.5830352 3.0581892
 4.3500    -0.3597377 0.5000113 -0.2863262  0.0000055 -0.0000952 -0.0000161  2.4925294 27980.0000000   0.4942821 1.2320127 -0.3457343  1.1282146 0.4939611 -0.4741445  -1.1391126 -2.2378294   -1.6491997 1.6034635 3.0585937
 4.4000    -0.3599653 0.4913259 -0.2802747  0.0000048 -0.0000862 -0.0000107  2.4811694 28170.1582031   0.4923990 1.2217254 -0.3385250  1.1270998 0.4927027 -0.4732709  -1.1398663 -2.2609234   -1.6653466 1.6234508 3.0592164
 4.4500    -0.3602058 0.4829289 -0.2742276  0.0000043 -0.0000783 -0.0000062  2.4698931 28360.7753906   0.4906102 1.2117546 -0.3313147  1.1261502 0.4915097 -0.4724821  -1.1407657 -2.2840552   -1.6815922 1.6431887 3.0601893
 4.5000    -0.3604574 0.4748366 -0.2682073  0.0000041 -0.0000723 -0.0000068  2.4587481 28551.8535156   0.4889153 1.2021195 -0.3241303  1.1253725 0.4903826 -0.4717754  -1.1418182 -2.3073334   -1.6980148 1.6627778 3.0616058
 4.5500    -0.3629632 0.4633039 -0.2584753  -0.0001396 0.0015689 0.0018583  2.4302470 28743.1308594   0.4895209 1.1896568 -0.3130619  1.1350149 0.4934156 -0.4779024  -1.1446819 -2.2160057   -1.6787720 1.6135652 3.0764344
 4.6000    -0.3624480 0.4667324 -0.2609669  -0.0000082 0.0003745 0.0004164  2.4380844 28934.6562500   0.4893599 1.1931006 -0.3157975  1.1401572 0.4953616 -0.4790712  -1.1558357 -2.3048523   -1.7167477 1.6598462 3.0837739
 4.6500    -0.3621835 0.4717718 -0.2642569  0.0000875 -0.0005546 -0.0009007  2.4466975 29126.5019531   0.4898476 1.1985088 -0.3195552  1.1479110 0.4983595 -0.4811709  -1.1683855 -2.3858188   -1.7536538 1.7048737 3.1008871
 4.7000    -0.3626390 0.4711303 -0.2643771  0.0001029 -0.0007652 -0.0011308  2.4437322 29318.5996094   0.4901014 1.1976767 -0.3196894  1.1548912 0.5010846 -0.4836857  -1.1771201 -2.4175320   -1.7704038 1.7254654 3.1130489
 4.7500    -0.3634031 0.4647353 -0.2615917  0.0000739 -0.0006063 -0.0006619  2.4313409 29510.9335938   0.4895651 1.1902997 -0.3164131  1.1584658 0.5024240 -0.4852049  -1.1810145 -2.4187936   -1.7728166 1.7319558 3.1152854
 4.8000    -0.3641009 0.4557361 -0.2571742  0.0000375 -0.0004005 -0.0001174  2.4157532 29703.5800781   0.4883844 1.1798163 -0.3111728  1.1589805 0.5023499 -0.4853867  -1.1818261 -2.4157791   -1.7732905 1.7384420 3.1129809
 4.8500    -0.3646111 0.4469183 -0.2519803  0.0000111 -0.0002721 0.0001807  2.4013968 29896.5800781   0.4869672 1.1694014 -0.3049725  1.1581953 0.5015004 -0.4847713  -1.1818471 -2.4221758   -1.7793953 1.7512416 3.1122504
 4.9000    -0.3649792 0.4394415 -0.2462858  -0.0000029 -0.0002160 0.0002279  2.3896579 30089.9609375   0.4856147 1.1604529 -0.2981504  1.1576070 0.5005380 -0.4840570  -1.1825463 -2.4394510   -1.7921911 1.7696249 3.1152676
 4.9500    -0.3652882 0.4332276 -0.2400769  -0.0000085 -0.0001906 0.0001519  2.3800070 30283.7265625   0.4844313 1.1529499 -0.2907004  1.1578450 0.4998199 -0.4836593  -1.1843594 -2.4636511   -1.8093928 1.7903588 3.1210656
 5.0000    -0.3655928 0.4277648 -0.2333201  -0.0000097 -0.0001668 0.0000649  2.3714258 30474.6601563   0.4833958 1.1463373 -0.2825878  1.1588745 0.4994089 -0.4836666  -1.1870980 -2.4907300   -1.8284639 1.8109199 3.1278539
